============================================
Ejecución iniciada el: 2025-05-28 05:56:12
Competidores: 20 (RAG en ID=1)
--------------------------------------------
 1. Example 0             ELO 1335.46
 2. Example 13            ELO 1297.32
 3. Example 16            ELO 1294.93
 4. Example 3             ELO 1264.95
 5. Example 11            ELO 1248.95
 6. Example 15            ELO 1229.19
 7. Example 18            ELO 1224.31
 8. Example 4             ELO 1219.75
 9. Example 8             ELO 1212.25
10. Example 7             ELO 1207.62
11. Example 6             ELO 1192.38
12. Example 9             ELO 1187.75
13. Example 5             ELO 1180.25
14. Example 19            ELO 1175.69
15. Example 14            ELO 1170.81
16. Example 10            ELO 1151.05
17. Example 2             ELO 1135.05
18. Example 17            ELO 1105.07
19. Example 12            ELO 1102.68
20. RAG_Competitor 1      ELO 1064.54

Finalizado : 2025-05-28 06:09:19
Duración   : 13.20 minutos

